Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,17,16,1414,15.7,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.00,0.06,0.08,0.08,0.05,0.13,0.08,0.05,0.13,0.08,0.13,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,20,12,1021,11.3,0.53,0.09,0.53,0.00,0.00,0.00,0.00,0.53,0.09,0.62,0.53,0.62,0.50,0.50,0.08,0.58,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,26,22,1985,22.1,0.23,0.18,0.23,0.00,0.00,0.05,0.00,0.23,0.18,0.41,0.23,0.41,0.25,0.25,0.19,0.45,0.25,0.20,0.45,0.25,0.45,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24,24,2160,24.0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.05,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,6,3,203,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.26,0.52,0.28,0.25,0.53,0.28,0.53,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,24,24,2089,23.2,0.09,0.04,0.09,0.00,0.00,0.09,0.00,0.09,0.04,0.13,0.09,0.13,0.04,0.04,0.06,0.09,0.04,0.06,0.10,0.04,0.10,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,13,8,702,7.8,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.13,0.13,0.26,0.13,0.26,0.04,0.04,0.09,0.14,0.04,0.09,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,24,24,2099,23.3,0.09,0.00,0.09,0.00,0.00,0.13,0.04,0.09,0.00,0.09,0.09,0.09,0.02,0.02,0.00,0.03,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,6,5,470,5.2,0.19,0.00,0.19,0.00,0.00,0.58,0.00,0.19,0.00,0.19,0.19,0.19,0.02,0.02,0.00,0.02,0.01,0.00,0.02,0.01,0.02,Matches
