Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3,3,270,3.0,3.00,3.00,6.33,3.33,52.6,0.33,0.33,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,1,0,16,0.2,0.00,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,28-157,1992,23,23,2070,23.0,1.13,1.13,3.17,2.17,69.9,0.43,0.26,0.30,0.22,21.7,0.35,0.17,0.04,0.13,20.0,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27,27,2430,27.0,1.11,1.11,4.19,3.26,77.9,0.19,0.41,0.41,0.33,33.3,0.19,0.19,0.00,0.00,0.0,Matches
5,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4,4,360,4.0,1.50,1.50,4.50,3.00,66.7,0.50,0.25,0.25,0.25,25.0,0.00,0.00,0.00,0.00,,Matches
6,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1,1,90,1.0,2.00,2.00,7.00,5.00,71.4,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
7,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1,1,90,1.0,3.00,3.00,3.00,0.00,0.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
8,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
9,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-151,1990,25,25,2250,25.0,1.72,1.72,4.80,3.24,66.7,0.28,0.16,0.56,0.16,16.0,0.16,0.12,0.04,0.00,25.0,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-052,1989,2,2,180,2.0,0.50,0.50,3.00,2.50,83.3,0.00,1.00,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,Matches
