Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,0.06,0.00,0.00,0.64,0.25,0.19,1.91,1.72,1.02,0.00,0.00,0.00,9.36,0.51,0.76,40.0,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,0.00,0.00,0.00,1.86,1.06,0.44,0.27,0.18,0.27,0.09,0.00,0.00,3.98,3.27,2.30,58.7,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,0.05,0.00,0.00,0.95,1.72,0.68,0.36,0.27,0.63,0.00,0.00,0.00,3.71,1.40,4.71,23.0,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,0.04,0.00,0.00,0.50,0.17,0.04,0.08,1.50,0.83,0.00,0.00,0.04,9.17,3.08,1.33,69.8,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,0.00,0.00,0.00,0.43,1.30,0.00,0.43,0.87,0.00,0.00,0.00,0.00,2.17,0.87,1.74,33.3,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,0.09,0.00,0.00,0.99,0.82,0.04,1.59,1.72,0.91,0.00,0.00,0.00,8.88,1.16,1.47,44.3,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,0.00,0.00,0.00,1.03,1.54,0.00,1.67,0.90,1.03,0.00,0.13,0.00,8.08,0.77,1.03,42.9,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,0.13,0.04,0.00,0.94,0.13,0.00,0.21,1.12,1.42,0.00,0.04,0.00,9.40,2.79,1.37,67.0,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,0.58,0.00,0.00,0.58,0.38,0.00,0.00,0.58,0.38,0.00,0.00,0.00,10.8,4.62,1.73,72.7,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,0.15,0.00,0.00,0.45,1.42,0.30,3.81,1.42,1.72,0.00,0.00,0.00,9.40,0.75,1.94,27.8,Matches
