Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,3.00,0.00,0.00,0.67,0.00,2.60,0.41,-0.40,-0.39,4.00,10.7,37.5,25.7,6.67,31.2,34.7,7.33,36.4,32.6,9.67,0.67,6.9,0.33,0.33,4.23,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.50,0.04,0.50,+0.50,0.00,15.0,0.0,50.0,10.0,30.0,31.8,5.00,0.0,30.0,20.0,0.00,0.0,0.00,0.00,87.5,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,28-157,1992,23.0,1.13,0.17,0.04,0.13,0.00,1.20,0.34,0.07,+0.08,3.48,7.57,46.0,28.8,4.74,20.8,30.0,5.04,31.0,34.8,5.48,0.48,8.7,1.48,1.48,0.84,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,1.11,0.19,0.00,0.07,0.04,1.34,0.29,0.27,+0.27,4.52,11.9,37.9,19.8,4.26,39.1,34.5,6.85,61.1,45.0,9.96,1.11,11.2,0.59,0.59,0.52,Matches
5,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,1.50,0.00,0.00,0.00,0.00,1.32,0.29,-0.17,-0.17,7.25,14.3,50.9,26.3,5.00,38.1,33.7,8.25,51.5,40.4,8.25,1.00,12.1,0.00,0.00,3.60,Matches
6,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,2.00,0.00,0.00,1.00,0.00,1.70,0.24,-0.30,-0.31,8.00,29.0,27.6,25.0,2.00,68.0,49.1,12.0,100.0,67.0,10.0,1.00,10.0,0.00,0.00,10.0,Matches
7,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,3.00,0.00,0.00,1.00,0.00,1.50,0.49,-1.50,-1.54,1.00,3.00,33.3,20.0,2.00,15.0,24.6,6.00,0.0,19.7,8.00,0.00,0.0,2.00,2.00,22.0,Matches
8,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.52,0.00,+0.04,5.00,6.00,83.3,23.0,10.0,13.0,22.9,10.0,30.0,34.1,8.00,2.00,25.0,0.00,0.00,14.7,Matches
9,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-151,1990,25.0,1.72,0.12,0.04,0.16,0.08,1.48,0.28,-0.16,-0.16,7.36,21.3,34.6,20.2,3.52,68.4,50.5,8.80,84.5,60.2,9.56,0.88,9.2,0.24,0.24,0.48,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-052,1989,2.0,0.50,0.00,0.00,0.00,0.00,1.25,0.42,0.75,+0.75,7.00,15.5,45.2,23.5,2.50,29.8,34.3,12.0,70.8,56.4,12.0,1.00,8.3,0.00,0.00,5.90,Matches
