Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,46.1,57.8,79.8,770.4,354.0,23.9,26.9,88.7,17.3,21.3,81.2,4.08,7.71,52.9,0.06,0.05,0.01,0.70,3.38,1.46,0.25,5.61,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,13.0,18.9,68.7,180.7,28.9,7.96,10.3,77.6,3.45,5.49,62.9,0.80,1.33,60.0,0.09,0.08,0.01,0.71,1.06,0.18,0.00,0.97,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,14.8,21.5,69.1,246.4,55.4,7.51,10.0,74.8,4.71,6.24,75.4,1.81,2.40,75.5,0.18,0.19,-0.01,1.04,1.00,0.68,0.00,2.08,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,47.4,54.7,86.7,1125.1,371.4,8.79,9.83,89.4,27.2,29.0,93.8,11.1,15.1,73.3,0.00,0.01,-0.01,0.17,2.38,0.13,0.00,2.29,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,25.3,33.0,76.8,672.0,375.7,6.00,6.00,100.0,11.7,12.0,97.2,7.00,14.3,48.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,24.3,28.7,84.8,288.3,31.7,13.9,15.7,88.9,6.09,6.96,87.5,0.87,0.87,100.0,0.00,0.26,-0.26,1.30,0.87,0.43,0.00,0.87,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,47.9,61.3,78.1,915.7,372.1,19.7,21.8,90.7,21.3,24.9,85.8,6.25,12.8,49.0,0.04,0.06,-0.01,0.56,3.79,0.56,0.34,3.79,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,38.7,46.4,83.4,609.0,178.8,20.5,22.3,92.0,15.8,18.5,85.4,1.92,3.46,55.6,0.13,0.09,0.04,0.77,1.67,0.77,0.38,2.31,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,24.5,33.8,72.7,533.0,227.1,7.12,8.37,85.1,12.8,15.9,80.8,4.55,9.10,50.0,0.00,0.00,-0.00,0.09,2.15,0.13,0.00,2.10,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,82.5,88.7,93.1,1506.5,415.4,34.2,35.8,95.7,41.0,43.3,94.7,6.92,8.46,81.8,0.00,0.00,0.00,0.19,6.92,0.00,0.00,4.42,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,29.6,43.4,68.2,519.3,207.8,14.6,17.8,82.4,10.2,12.9,79.2,3.43,8.36,41.1,0.22,0.22,0.00,1.64,2.69,2.01,0.82,4.18,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-331,1991,11.8,76.0,85.7,88.7,1598.9,395.7,26.3,29.0,90.6,34.5,37.0,93.1,14.2,17.6,80.3,0.00,0.09,-0.09,1.36,9.58,0.93,0.08,8.90,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-006,1989,16.9,42.1,51.4,81.9,993.6,269.3,9.88,10.8,91.8,21.7,23.5,92.4,10.2,16.2,63.1,0.00,0.01,-0.01,0.18,2.90,0.24,0.06,1.95,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,0.2,35.0,55.0,63.6,630.0,255.0,10.0,10.0,100.0,25.0,25.0,100.0,0.00,20.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-152,1998,23.7,69.7,92.0,75.8,1498.0,594.6,24.5,27.6,88.7,31.3,37.6,83.3,13.3,24.1,55.3,0.13,0.16,-0.04,1.65,6.79,3.21,0.72,9.16,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-024,1992,16.5,52.8,64.2,82.2,854.5,277.7,27.4,30.4,90.2,21.6,24.8,87.3,3.15,6.48,48.6,0.00,0.10,-0.10,1.03,3.82,1.15,0.48,4.00,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-157,1992,23.0,29.2,33.9,86.1,767.0,400.3,4.57,4.57,100.0,15.7,16.0,98.4,8.74,13.1,66.6,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.04,Matches
18,Allan\Allan,br BRA,MF,Everton,30-059,1991,12.8,40.2,46.6,86.4,759.5,167.0,16.9,18.3,92.3,16.3,18.6,87.4,6.17,7.97,77.5,0.00,0.02,-0.02,0.55,3.44,0.63,0.00,2.58,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-331,1996,2.3,43.5,54.3,80.0,763.0,168.3,19.1,22.2,86.3,18.7,21.3,87.8,4.78,6.09,78.6,0.00,0.09,-0.09,1.74,3.48,1.30,0.00,4.35,Matches
