Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,57.8,48.9,8.92,1.53,0.13,5.16,1.02,1.91,0.13,0.00,0.13,0.00,37.4,11.3,9.04,38.3,10.3,1.34,7.26,0.19,46.1,0.70,1.02,1.46,1.34,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,18.9,18.1,0.88,0.18,0.00,6.55,0.09,0.27,0.00,0.00,0.00,0.00,11.9,4.78,2.21,1.50,12.9,1.42,0.00,1.06,13.0,0.00,0.35,0.27,1.15,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,21.5,21.1,0.36,0.05,0.27,5.70,0.45,0.36,0.00,0.00,0.00,0.00,13.5,4.43,3.53,1.45,17.2,1.09,0.00,0.81,14.8,0.18,0.41,1.04,1.27,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,54.7,53.1,1.58,1.38,0.08,5.08,1.46,0.08,0.00,0.00,0.00,0.00,41.7,3.88,9.13,7.58,43.0,2.54,0.21,0.13,47.4,0.08,0.96,0.54,0.42,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,33.0,23.3,9.67,2.33,0.00,3.00,0.33,0.00,0.00,0.00,0.00,0.00,19.0,3.00,11.0,4.33,21.7,0.00,0.00,6.67,25.3,0.33,0.67,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,28.7,26.5,2.17,0.00,0.00,5.65,0.43,0.43,0.00,0.00,0.00,0.00,22.6,4.35,1.74,2.61,24.3,0.87,0.00,0.43,24.3,0.00,0.00,0.00,1.74,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,61.3,51.9,9.40,0.95,0.00,3.92,1.21,1.59,0.00,0.00,0.00,0.00,36.4,9.57,15.3,9.22,39.9,3.28,8.45,0.17,47.9,0.00,0.95,1.34,1.55,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,46.4,39.6,6.79,0.13,0.00,3.46,0.51,1.67,0.00,0.00,0.00,0.00,31.5,8.33,6.54,34.0,3.85,1.41,6.67,0.00,38.7,0.00,0.13,0.51,1.92,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,33.8,31.7,2.10,0.47,0.04,4.08,0.99,0.21,0.00,0.00,0.00,0.00,20.3,3.78,9.70,1.76,26.0,2.49,1.63,0.09,24.5,0.17,1.03,1.16,0.47,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,88.7,84.8,3.85,1.92,0.00,5.38,0.58,0.00,0.00,0.00,0.00,0.00,75.6,4.62,8.46,67.7,11.9,3.08,1.92,0.38,82.5,0.00,0.38,0.77,0.77,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,43.4,39.9,3.43,0.45,0.45,7.61,1.42,3.81,1.12,0.22,0.22,0.07,25.6,8.81,8.96,3.81,35.4,1.34,1.87,0.45,29.6,0.45,0.67,1.12,3.81,Matches
