Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,1.40,1.40,1.21,0.13,0.06,0.00,0.00,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,1.59,1.59,0.97,0.00,0.09,0.27,0.27,0.00,0.18,0.18,0.09,0.00,0.00,0.00,0.09,0.00,0.00,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,1.90,1.90,1.36,0.00,0.05,0.18,0.32,0.00,0.27,0.27,0.23,0.00,0.00,0.00,0.05,0.00,0.00,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,0.63,0.62,0.58,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,2.17,2.22,1.74,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,0.99,0.99,0.91,0.04,0.00,0.00,0.04,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,1.54,1.54,1.28,0.00,0.26,0.00,0.00,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,0.34,0.34,0.26,0.00,0.04,0.04,0.00,0.00,0.09,0.09,0.04,0.00,0.00,0.04,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,3.36,3.37,2.46,0.15,0.30,0.07,0.15,0.22,0.52,0.52,0.37,0.07,0.00,0.07,0.00,0.00,0.00,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-331,1991,11.8,2.71,2.71,2.20,0.17,0.08,0.17,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-006,1989,16.9,0.65,0.65,0.47,0.00,0.00,0.18,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
