Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,1.66,1.02,1.08,0.51,0.06,0.70,1.91,36.7,1.21,9.62,2.87,29.8,5.80,2.80,1.02,1.40,0.25,0.00,1.15,1.72,3.38,1.78,0.06,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,0.53,0.27,0.18,0.27,0.09,0.00,0.35,0.0,0.35,13.5,3.19,23.7,0.97,5.66,6.81,0.80,0.18,0.00,0.62,0.18,0.71,1.33,0.00,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,1.13,0.63,0.18,0.54,0.41,0.23,0.81,27.8,0.59,13.2,4.66,35.3,1.63,4.48,7.10,0.81,0.09,0.00,0.72,0.27,1.40,0.54,0.00,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,1.21,0.83,1.00,0.21,0.00,0.50,1.04,48.0,0.54,5.33,1.63,30.5,3.71,1.50,0.13,1.21,0.67,0.00,0.54,1.50,2.71,7.63,0.04,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.33,0.00,0.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.0,0.43,11.3,2.17,19.2,1.74,2.61,6.96,1.30,0.00,0.00,1.30,0.87,0.87,0.43,0.00,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,1.68,0.91,0.95,0.52,0.22,0.52,1.16,44.4,0.65,8.10,2.03,25.0,4.05,3.23,0.82,1.72,0.22,0.00,1.51,1.72,3.41,4.22,0.00,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,1.92,1.03,0.77,1.03,0.13,1.03,1.79,57.1,0.77,13.1,3.72,28.4,6.28,5.00,1.79,1.67,0.00,0.00,1.67,0.90,2.82,2.56,0.00,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,2.06,1.42,1.59,0.39,0.09,0.60,1.12,53.8,0.52,11.4,4.64,40.6,7.60,3.26,0.56,1.85,1.03,0.09,0.82,1.12,3.18,4.64,0.04,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,0.96,0.38,0.58,0.19,0.19,0.38,0.38,100.0,0.00,5.58,2.12,37.9,1.73,2.69,1.15,0.58,0.19,0.00,0.38,0.58,1.54,2.69,0.00,Matches
