Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,15.7,67.1,3.44,19.6,32.2,19.0,2.17,58.0,0.51,1.08,47.1,0.51,0.00,38.7,189.5,102.9,6.62,1.85,0.51,0.64,0.64,43.7,40.5,92.7,2.61,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,11.3,30.4,1.68,3.27,14.3,14.3,5.66,29.6,0.53,1.68,31.6,0.53,0.18,15.4,62.2,21.9,1.06,0.44,0.27,2.30,0.97,42.4,21.8,51.4,8.41,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,22.1,33.4,0.63,2.85,15.0,17.3,3.80,33.1,0.81,1.54,52.9,0.95,0.00,21.8,84.1,37.4,2.26,0.95,0.36,2.90,1.99,52.2,26.0,49.9,7.33,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24.0,66.8,12.7,39.0,28.8,2.29,1.17,65.3,0.25,0.25,100.0,0.25,0.00,39.0,177.1,97.8,1.38,0.17,0.00,0.17,0.29,45.2,43.9,97.1,0.13,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3.0,37.7,34.0,37.7,0.00,0.00,0.00,28.0,0.00,0.00,,0.00,0.00,16.7,53.7,24.0,0.00,0.00,0.00,0.00,0.00,15.7,15.3,97.9,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,2.3,39.6,0.00,1.74,16.1,23.0,7.83,37.4,0.00,1.74,0.0,0.43,0.43,23.0,86.5,47.0,2.61,0.87,0.43,1.74,1.30,46.5,31.7,68.2,9.13,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,23.2,72.0,4.05,26.9,35.7,13.5,0.82,63.2,0.65,1.08,60.0,0.69,0.09,40.9,212.5,117.1,4.01,1.38,0.22,0.60,0.39,46.2,44.4,96.0,1.12,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,7.8,59.4,2.82,16.0,26.2,19.7,1.67,52.7,1.92,3.59,53.6,1.92,0.26,39.5,190.6,122.7,6.41,1.28,0.77,1.15,1.15,40.1,36.7,91.4,1.79,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,23.3,44.0,7.47,24.1,19.2,2.70,0.99,41.9,0.39,0.56,69.2,0.39,0.04,21.5,118.4,63.6,1.07,0.34,0.00,0.30,0.39,24.2,22.3,92.0,0.21,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,5.2,94.6,3.08,21.2,69.6,9.04,0.77,90.8,0.00,0.00,,0.00,0.00,69.4,318.5,178.3,7.88,1.73,0.00,0.38,0.38,76.2,74.6,98.0,0.58,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,55.6,2.31,12.3,23.6,24.0,2.09,52.2,1.79,3.36,53.3,1.87,0.15,37.3,191.3,98.3,4.55,1.34,0.30,1.27,2.09,46.0,35.5,77.3,3.73,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-331,1991,11.8,95.5,1.53,15.8,62.1,24.1,0.59,93.6,1.36,2.12,64.0,1.36,0.00,68.9,285.3,151.5,7.03,2.97,0.17,0.85,0.42,76.1,72.7,95.5,1.95,Matches
