Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Reece Hannam\Reece-Hannam,eng ENG,DF,Crystal Palace,20-170,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-191,1990,17,1414,83,56.1,15.7,1.02,87,0.96,0.06,19,0.45,1.12,0.96,1.85,-0.89,-0.89,-0.65,0.83,1.45,-0.62,-0.62,+0.23,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-157,1997,20,1021,51,42.0,11.3,1.06,74,0.62,0.71,16,0.44,1.65,2.04,1.06,0.97,+0.97,+0.59,1.73,0.76,0.97,+0.97,+0.53,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-238,1996,26,1985,76,81.7,22.1,1.00,84,0.50,0.18,33,0.00,1.15,1.27,1.72,-0.45,-0.45,-0.25,0.99,1.27,-0.28,-0.28,+0.13,Matches
5,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-165,1997,24,2160,90,85.7,24.0,1.00,90,1.00,0.00,,0.00,1.08,0.79,0.92,-0.13,-0.12,+1.88,1.16,1.25,-0.08,-0.08,+0.64,Matches
6,Adrián\Adrian,es ESP,GK,Liverpool,34-064,1987,3,270,90,10.7,3.0,1.00,90,1.00,0.00,,5.67,1.33,2.00,3.00,-1.00,-1.00,-1.56,2.23,1.93,0.30,+0.30,-0.30,Matches
7,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-279,1988,6,203,34,8.1,2.3,1.30,56,0.00,1.30,11,3.04,2.33,0.87,1.30,-0.43,-0.44,-1.92,1.39,1.17,0.22,+0.20,-1.00,Matches
8,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-151,1996,24,2089,87,82.9,23.2,1.03,87,0.86,0.00,,0.04,1.04,0.82,0.99,-0.17,-0.17,+1.29,1.12,1.28,-0.17,-0.17,+0.03,Matches
9,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-275,2001,13,702,54,27.9,7.8,1.03,79,0.64,0.64,15,0.90,0.85,1.03,1.41,-0.38,-0.38,-0.09,1.09,1.21,-0.13,-0.12,0.00,Matches
10,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-119,1993,24,2099,87,83.3,23.3,1.03,87,0.99,0.00,,0.13,0.54,0.82,2.36,-1.55,-1.54,-1.54,0.71,1.79,-1.08,-1.08,-0.72,Matches
11,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-018,1995,6,470,78,18.7,5.2,0.96,90,0.96,0.19,20,0.58,1.83,1.73,1.35,0.38,+0.38,-1.15,1.63,1.06,0.58,+0.58,-0.67,Matches
12,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,21,1202,57,47.7,13.4,0.90,81,0.52,0.67,26,0.52,2.19,1.72,0.90,0.82,+0.82,+0.48,1.52,1.31,0.22,+0.22,+0.04,Matches
